COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,Julius NM,07/11/13 06:20,"Huh, anyway check out this you[tube] channel: kobyoshi02",1
LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,adam riyati,07/11/13 12:37,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,Evgeny Murashkin,08/11/13 17:34,just for test I have to say murdev.com,1
z13jhp0bxqncu512g22wvzkasxmvvzjaz04,ElNino Melendez,09/11/13 08:28,me shaking my sexy ass on my channel enjoy ^_^ ï»¿,1
z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,GsMega,10/11/13 16:05,watch?v=vtaRGgvGtWQ   Check this out .ï»¿,1
LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,Jason Haddad,26/11/13 02:55,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
z13lfzdo5vmdi1cm123te5uz2mqig1brz04,ferleck ferles,27/11/13 21:39,Subscribe to my channel ï»¿,1
z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,Bob Kanowski,28/11/13 12:33,i turned it on mute as soon is i came on i just wanted to check the  views...ï»¿,0
z13ttt1jcraqexk2o234ghbgzxymz1zzi04,Cony,28/11/13 16:01,You should check my channel for Funny VIDEOS!!ï»¿,1
z12avveb4xqiirsix04chxviiljryduwxg0,BeBe Burkey,28/11/13 16:30,and u should.d check my channel and tell me what I should do next!ï»¿,1
z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,Huckyduck,28/11/13 17:06,Hey subscribe to meï»¿,1
z13xit5agm2zyh4f523rst2gowmbx5bml,Lone Twistt,28/11/13 17:34, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.ï»¿,1
z13pejoiuozwxtdu323dspopnri4xts0f,Archie Lewis,28/11/13 17:54,https://twitter.com/GBphotographyGBï»¿,1
z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,TheUploadaddict,28/11/13 18:12,subscribe like commentï»¿,1
z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,Francisco Nora,28/11/13 19:52,please like :D https://premium.easypromosapp.com/voteme/19924/616375350ï»¿,1
z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,Gaming and Stuff PRO,28/11/13 21:14,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!ï»¿",1
z13bgdvyluihfv11i22rgxwhuvabzz1os04,Zielimeek21,28/11/13 21:49,I'm only checking the viewsï»¿,0
z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,OutrightIgnite,28/11/13 21:55,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp	_trksid=p3984.m1555.l2649 ï»¿,1
z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,Tony K Frazier,28/11/13 23:57,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8Kï»¿,1
z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,Jose Renteria,29/11/13 00:22,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparelï»¿",1
z12axnji5w2axxht522thb3bktvqjdlbp04,zhichao wang,29/11/13 02:13,i think about 100 millions of the views come from people who only wanted to  check the viewsï»¿,0
z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,Carlos Thegamer,01/12/13 01:20,subscribe to my channel people :Dï»¿,1
z12ohdxjtsatvppjb04cctprprb1slnxdf4,OutrightIgnite,01/12/13 03:30,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodieï»¿,1
z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,Owen Lai,01/12/13 04:51,just checking the viewsï»¿,0
LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,||GuitarZ||,23/12/13 12:54,CHECK OUT MY CHANNEL,1
